Epoch 148: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 149: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.121
Epoch 150: duration loss = 0.413 | prior loss = 1.924 | diffusion loss = 0.120
Epoch 151: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.122
Epoch 152: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.124
Epoch 153: duration loss = 0.413 | prior loss = 1.930 | diffusion loss = 0.121
Epoch 154: duration loss = 0.414 | prior loss = 1.927 | diffusion loss = 0.121
Epoch 155: duration loss = 0.412 | prior loss = 1.926 | diffusion loss = 0.119
Epoch 156: duration loss = 0.413 | prior loss = 1.921 | diffusion loss = 0.122
Epoch 157: duration loss = 0.412 | prior loss = 1.930 | diffusion loss = 0.120
Epoch 158: duration loss = 0.414 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 159: duration loss = 0.413 | prior loss = 1.929 | diffusion loss = 0.121
Epoch 160: duration loss = 0.414 | prior loss = 1.928 | diffusion loss = 0.124
Epoch 161: duration loss = 0.412 | prior loss = 1.931 | diffusion loss = 0.123
Epoch 162: duration loss = 0.413 | prior loss = 1.927 | diffusion loss = 0.122
Epoch 163: duration loss = 0.414 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 164: duration loss = 0.413 | prior loss = 1.926 | diffusion loss = 0.120
Epoch 165: duration loss = 0.412 | prior loss = 1.931 | diffusion loss = 0.125
Epoch 166: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.120
Epoch 167: duration loss = 0.413 | prior loss = 1.924 | diffusion loss = 0.123
Epoch 168: duration loss = 0.412 | prior loss = 1.928 | diffusion loss = 0.119
Epoch 169: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.124
Epoch 170: duration loss = 0.413 | prior loss = 1.926 | diffusion loss = 0.122
Epoch 171: duration loss = 0.413 | prior loss = 1.925 | diffusion loss = 0.117
Epoch 172: duration loss = 0.413 | prior loss = 1.930 | diffusion loss = 0.121
Epoch 173: duration loss = 0.413 | prior loss = 1.928 | diffusion loss = 0.122
Epoch 174: duration loss = 0.413 | prior loss = 1.928 | diffusion loss = 0.122
